ip	ping(ms)	speed(MB/s)
2600:1417:7800::1728:f063	385.0	1.7194613837738248
240e:928:101:300:3c97:7a77:68fc:fffe	50.0	1.7126422880538505
2407:c080:17ff:ffff::754e:1cc8	75.0	1.7079358834230685
2600:1417:7800::1728:f062	371.0	1.7062796880006545
240e:928:101:300:32f3:10aa:869b:fffe	72.0	1.7032232656476303
240e:928:101:300:376d:bc99:a067:fffe	72.0	1.6994048890328375
240e:928:101:300:36ec:4b6a:e125:fffe	50.0	1.6982887914045424
2600:1417:8000::b81c:da63	378.0	1.696819830906679
240e:928:101:300:3081:c6cc:188e:fffe	50.0	1.6962023583015606
2408:866a:a00:5::1	80.0	1.6956636376554584
240e:928:101:300:3fea:d9ad:ff2b:fffe	75.0	1.6921095568282674
2600:1417:8000::17cb:87b0	378.0	1.691975339784641
240e:928:101:300:32bc:4267:6811:fffe	72.0	1.6911189172662744
240e:914:6:d:3c8e:fc17:e3ca:138	75.0	1.6901446580586237
2600:1417:8000:bb5::16c1	364.0	1.6896151556915007
2600:1417:a000::1737:2f19	283.0	1.6895635296761244
240e:928:101:300:324d:a630:b79:fffe	53.0	1.687930182692449
240e:928:101:300:3f27:f9a1:f444:fffe	50.0	1.6879254289413919
240e:928:101:300:3308:18fa:6811:fffe	56.0	1.6839435450913558
2600:1417:e800::b81a:7f71	361.0	1.6839435450913558
2409:8c38:c50:604:3d61:6d69:8ef5:fffe	65.0	1.6835160019800468
2600:1417:4400:88c::6c1	368.0	1.6833776539117025
240e:928:101:300:336a:5c2b:be2f:fffe	75.0	1.6803442979762744
240e:928:101:300:3513:3f70:8fc1:fffe	75.0	1.6795812892781992
240e:928:101:300:3403:8879:3975:fffe	75.0	1.6792576415464482
240e:928:101:300:356a:70e7:d686:fffe	69.0	1.5504550192986397
