IP Address,Latency
2600:140b:400:188::6c1,109ms
2600:9000:2240:4e00:17:dc4f:8c0:93a1,193ms
2600:140b:2c00:594::2ca5,177ms
2600:1417:8000::b81c:da63,354ms
2001:4b78:1001::101,214ms
2600:9000:2646:5600:17:a915:c0c0:93a1,254ms
2620:12a:8000::4,124ms
2600:140b:2c00:34::1737:819a,164ms
2402:28c0:2:113::1,208ms
2600:9000:2057:4200:b:13ba:bb40:93a1,246ms
240e:928:101:300:336a:5c2b:be2f:fffe,63ms
2600:9000:223e:7800:11:5a05:7f00:93a1,199ms
2600:140b:1e00:48d::1e89,164ms
240e:928:101:300:32bc:4267:6811:fffe,50ms
2409:8c38:c50:604:3d61:6d69:8ef5:fffe,63ms
2620:12a:8000::2,161ms
2600:9000:2057:b200:b:13ba:bb40:93a1,206ms
240e:928:101:300:32f3:10aa:869b:fffe,63ms
2600:9000:225e:4000:12:b469:b600:21,206ms
2a00:1c50:94::2,217ms
240e:928:101:300:3f27:f9a1:f444:fffe,63ms
2600:9000:234c:fe00:b:13ba:bb40:93a1,185ms
2400:8902:e001:11b:fff3:e83e:83e2:4,205ms
2600:9000:2057:ba00:b:13ba:bb40:93a1,195ms
2a01:488:42:1000:50ed:8459:15:86cb,265ms
2a03:b0c0:3:d0::f54:d001,292ms
2001:1528:240::15,300ms
2620:12a:8001::3,122ms
2600:9000:225e:6400:7:c559:f8c0:21,211ms
2600:1413:1:280::478,385ms
2600:9000:211e:1c00:10:a151:6fc0:93a1,199ms
2600:1417:7800::1728:f062,351ms
240e:914:6:d:3c8e:fc17:e3ca:138,78ms
2600:9000:24bc:e00:16:8800:2b40:93a1,208ms
2600:9000:25f0:9a00:0:e2c5:c880:21,209ms
240e:928:101:300:356a:70e7:d686:fffe,42ms
240e:928:101:300:3c97:7a77:68fc:fffe,44ms
2407:c080:17ff:ffff::754e:1cc8,44ms
2600:140b:2c00:3f::1734:ae23,141ms
2001:41d0:304:200::1920,352ms
2600:9000:206f:9200:0:73ca:82c0:93a1,241ms
2600:9000:214f:8400:f:ca13:7300:93a1,197ms
2a03:b0c0:1:d0::bdb:a001,353ms
2600:9000:20a6:5200:8:7b7a:4840:21,199ms
2600:9000:2644:1e00:2:7f9d:3980:93a1,212ms
2001:4ba0:cafe:bb8::1,244ms
2600:1417:e800::b81a:7f71,363ms
2600:9000:223e:d400:1a:c0ed:d440:93a1,220ms
240e:928:101:300:3513:3f70:8fc1:fffe,47ms
2a01:488:42:1000:50ed:822a:31:3b61,289ms
2600:140b:2:a84::255e,110ms
2600:9000:2670:a000:16:8800:2b40:93a1,194ms
2600:9000:225e:b400:1a:ac05:a500:93a1,201ms
2001:67c:2b0:db32:0:1:6819:8468,326ms
2600:9000:2251:a800:8:e58d:e280:93a1,206ms
2001:67c:2b0:db32:0:1:6810:346f,309ms
2600:1417:a000::1737:2f19,251ms
2600:9000:234c:2c00:1d:c48a:5340:21,206ms
2605:6400:20:1690::1,230ms
