ip	speed(MB/s)
146.70.175.101	0.00854021884546657
138.2.178.52	0.007982585054170375
146.70.175.167	0.00784344987020009
124.156.161.210	0.007732449722419406
150.230.105.183	0.007663211505314808
162.158.110.99	0.007645796564543928
49.51.46.56	0.007633916109570141
146.70.175.180	0.007488833348638616
162.158.189.203	0.007488464728230859
192.9.182.144	0.007483587752142779
47.74.11.219	0.007444308521027581
168.138.12.10	0.007443576995630229
168.138.195.31	0.007436642305063358
140.238.33.94	0.007396606238986701
144.21.42.208	0.0073826047986115615
132.226.129.136	0.007357303904117717
141.147.28.8	0.007319286911276287
47.91.10.241	0.007288928470343636
146.70.175.174	0.007272981460405357
143.47.233.29	0.007234984330328348
47.245.4.83	0.00722698414726058
149.129.8.215	0.007195422655565642
47.243.161.235	0.007168285641770231
130.61.203.115	0.007105174956691556
138.3.216.181	0.007074962004906047
45.136.198.178	0.007054893650517777
132.145.58.28	0.007050689880250435
131.186.28.248	0.007043596062371463
138.2.26.80	0.007013677911640985
47.74.5.53	0.007001929552946291
158.101.136.128	0.0069168114355096354
143.47.225.21	0.006870606487379663
43.153.80.208	0.006870163249863481
172.71.102.171	0.006851990347262383
138.2.19.154	0.00684380260483353
158.101.133.129	0.006819507921123636
141.147.186.210	0.006814671720203973
47.74.40.13	0.006783288471107328
8.212.23.156	0.006760306723151922
47.91.22.66	0.006709434493697861
150.230.101.125	0.006706678042038246
47.74.22.54	0.006657742604551271
132.226.196.150	0.006649157414688306
172.69.151.233	0.006623400902705446
172.71.210.181	0.006615029680670623
130.162.52.187	0.006612980641032478
172.71.102.146	0.006599546007810532
8.210.212.243	0.0065931984879054285
162.158.187.11	0.006586110742265303
47.245.14.221	0.006585241115708041
47.236.87.206	0.006551883250246546
172.71.250.43	0.006517094593986519
162.158.129.77	0.006507836255880472
8.219.12.152	0.006479033327082388
146.70.175.105	0.0064700746538828135
143.47.231.11	0.006467033098535451
158.101.143.49	0.006464259827253154
47.57.216.18	0.006422907898466683
131.186.58.151	0.006383958576205156
146.70.175.125	0.006346457548600144
47.245.59.167	0.006320359559474011
152.70.99.187	0.006223904482455733
132.145.244.52	0.006164077361486161
146.70.175.126	0.006100624586150598
47.89.191.155	0.005582354530081934
130.162.176.181	0.005571937673334382
8.222.169.182	0.005522627091499779
172.71.102.119	0.00551894010986666
101.32.68.154	0.0054918686732332075
8.219.110.248	0.005486188617128339
47.74.6.55	0.00544387551976021
152.67.131.91	0.0054176374863167545
130.162.160.163	0.005353480841878036
38.180.65.90	0.005350137920314152
146.70.175.175	0.005219610558928492
43.163.235.207	0.00518047980102196
155.248.174.71	0.005129488125025323
140.238.81.248	0.004994189463265478
158.101.174.238	0.004894680819713041
138.2.27.113	0.004191572263293899
8.222.155.242	0.004044417100395997
129.159.252.73	0.00387778134530996
146.70.175.186	0.003813596364191712
141.147.167.40	0.0037802868201692224
8.219.142.191	0.00378008128511071
168.138.185.253	0.003613212254266041
144.24.172.113	0.0035381599066913907
8.218.138.214	0.00343898564360263
193.123.38.208	0.0034358391577867
131.186.37.191	0.0031944433906482776
132.145.238.234	0.0031884646056476542
162.158.95.202	0.0031493175579846524
129.159.197.137	0.0031119784526776957
141.144.232.16	0.0030897113669600563
172.70.206.163	0.0030742171096212094
172.71.99.41	0.003057076242304904
47.57.245.232	0.0030461386356516003
146.70.175.172	0.0030146713785061123
158.178.145.167	0.0029875136993792037
141.147.5.219	0.0029039547134486116
141.147.40.71	0.0028462746016685546
162.158.163.188	0.0028046818853398824
144.24.78.162	0.0026925779202661405
8.219.248.57	0.0026452011457473103
8.218.105.223	0.002523522817781413
8.222.215.228	0.0025196496206190398
152.70.102.142	0.0024824959599725666
172.69.135.74	0.002472020453429505
143.47.255.76	0.0024675934135537448
146.70.175.179	0.00245928473719315
155.248.177.210	0.0024488191521897006
98.98.118.82	0.002443815487336052
47.91.1.38	0.0024277934610767876
162.158.178.217	0.0023827460964501506
152.67.141.104	0.0023752003058477105
129.226.188.170	0.0023559299514252113
158.101.208.65	0.0023430894327883165
144.21.32.193	0.0023011083680446413
138.2.164.40	0.0022920648143869354
8.222.213.221	0.0022484818338590015
152.70.57.246	0.002232220469994365
172.71.182.76	0.0022233965821540982
47.245.55.202	0.0022015990535945384
158.101.211.53	0.002201406035018942
141.147.107.102	0.00219159615361801
47.236.113.184	0.0021876332983308783
132.226.209.124	0.0021867364721650092
155.248.163.133	0.0021847143127628997
47.245.52.197	0.002181243188133189
8.218.65.237	0.002177282039082838
172.71.210.110	0.002175680164440272
68.233.112.56	0.0021725277956115034
8.210.220.153	0.0021717834656069107
8.210.107.246	0.002171139364864983
152.70.106.185	0.002169604232981268
146.70.175.166	0.0021634065000662025
47.236.130.95	0.0021590598882712743
130.162.35.76	0.0021576780695217127
47.74.43.143	0.0021564924550160963
8.219.178.9	0.0021559341539792373
141.147.75.45	0.002153593416456361
146.70.175.182	0.002150861859518924
8.218.149.103	0.0021492184924438423
131.186.38.135	0.0021449461838168172
193.122.125.174	0.0021415505280062384
141.144.205.200	0.002135571011628859
172.70.214.197	0.002132819621940522
172.69.33.206	0.002128917577587192
8.209.242.25	0.0021166918762361934
138.2.20.230	0.0021150973249696794
47.245.58.250	0.002113584626216925
144.21.59.127	0.0021097260304462928
172.70.207.187	0.002105047742631635
141.147.162.204	0.0020988256592798142
152.67.141.111	0.0020779361493745013
168.138.15.75	0.0020695692611806924
172.71.158.228	0.002068870627933776
138.2.160.143	0.0020374389536404985
130.61.211.43	0.0020372745623584492
49.51.46.56	0.002035028478483486
47.76.61.2	0.002030492378699839
47.74.57.40	0.0020288026321540116
131.186.63.35	0.0020285607549688197
172.70.206.173	0.0020258365779654464
47.245.30.63	0.002025203854375493
8.222.185.116	0.002022035089412283
172.70.214.148	0.002019610660474265
141.147.168.13	0.002015255564772478
152.70.54.66	0.0020149635305402092
158.101.158.251	0.0020130787851696673
141.148.234.227	0.0020118964602335396
162.158.111.124	0.0020100016009844835
47.243.61.175	0.002004865986048773
140.238.32.112	0.0020041204912132093
130.162.253.15	0.002003899546012263
192.9.157.76	0.0020029036792955585
172.71.99.69	0.002001727296941716
172.71.102.170	0.0019987989982598836
47.76.69.143	0.0019987173498580064
139.185.41.233	0.001998667922715671
141.148.230.223	0.0019968925951066425
172.70.147.96	0.001996613785369753
141.145.199.188	0.001995117780164778
162.158.178.236	0.0019946397091029095
152.70.60.233	0.0019932600856494083
8.219.185.191	0.0019930068621348733
141.147.61.116	0.0019928124898179874
172.71.246.7	0.001992220162140546
47.236.4.77	0.0019886376118773423
141.147.164.54	0.0019879549956153867
140.238.13.96	0.001980472046781323
129.153.119.97	0.0019768937979761734
47.104.146.53	0.001976742053068929
43.156.247.74	0.0019746295442711202
47.241.180.140	0.001971644648298193
47.57.14.118	0.001969823316510479
172.71.158.37	0.001968200258940531
130.162.182.44	0.0019670993292804106
47.74.46.33	0.0019590864320279035
172.71.158.29	0.0019567677965999105
162.158.138.148	0.0019526984050626057
172.70.215.12	0.001951011968915284
131.186.63.184	0.0019502648003704038
172.71.146.155	0.0019489549073799658
152.69.219.32	0.0019456189613163148
8.222.147.203	0.0019455342919783934
47.74.36.31	0.0019394327908977783
162.158.178.93	0.001929330902416182
172.71.182.166	0.0019257497116800379
172.71.159.52	0.0019257396743325727
172.70.246.156	0.0019254492511072343
47.245.8.42	0.0019178740158898363
152.70.237.179	0.00191767634911031
146.70.175.100	0.0019169222174715644
47.74.48.90	0.0019158780936843645
162.158.111.181	0.001915573408658341
141.147.191.211	0.0019151922327656765
146.70.175.103	0.0019150445450954697
152.70.62.200	0.0019149181474034263
138.2.0.217	0.0019136864414617968
162.158.179.15	0.0019128531815448128
141.147.66.114	0.0019094478327018253
138.3.220.4	0.001909394062695709
172.71.98.179	0.0019087834721112965
140.238.51.89	0.001906839554576436
47.57.245.232	0.0019043321347106711
158.101.214.224	0.0019043129047808835
172.71.218.118	0.001904286864869999
8.218.148.106	0.0019012880323244171
47.245.2.106	0.0019011432797724928
146.70.175.110	0.001897376298747474
47.91.31.231	0.0018944822367698867
108.162.226.2	0.001893590545351776
47.242.55.25	0.0018925946276405793
146.70.169.115	0.0018916333570693058
144.21.33.132	0.0018908810007715387
23.90.144.167	0.0018892763426682272
162.158.94.132	0.0018874087298074945
144.21.59.52	0.00188661293682504
150.230.101.13	0.0018794662498564758
8.222.187.4	0.001875672075248184
150.230.21.11	0.0018663272969438685
8.212.12.98	0.0018589782622557896
162.158.178.216	0.0018509576282632152
47.245.12.189	0.0018363604439602212
146.70.175.185	0.0018274128481335537
158.101.149.122	0.0018247546146516185
162.158.175.145	0.0018134832842799328
8.211.6.132	0.0018120554938992263
141.147.16.152	0.0018098568619557272
141.148.236.12	0.0018042219830855185
8.218.77.233	0.0018024104551753442
38.180.20.29	0.0017966955252118938
8.217.247.204	0.001792669326658571
132.226.208.226	0.0017914239831734388
138.2.140.198	0.0017892229362488521
146.70.175.121	0.001789084666376326
23.224.33.59	0.0017822283169932872
131.186.61.45	0.0017798900767289707
131.186.36.248	0.0017789861292341446
140.238.28.129	0.00177773657918862
172.70.142.234	0.0017733293965237684
8.219.93.85	0.0017713926929268653
143.47.251.251	0.0017660281885568709
131.186.37.49	0.0017640346426626478
8.222.211.124	0.001761312056844537
130.162.169.10	0.001751106653170326
43.156.47.167	0.0017473414186802419
143.47.176.174	0.0017463597649668308
146.70.175.119	0.0017456818410861918
172.69.34.177	0.0017410416033354448
43.153.80.208	0.001738507165484295
119.28.59.141	0.0017370943609944125
129.146.84.236	0.001735911183174395
143.47.184.85	0.0017294688150138987
8.219.61.98	0.0017199337221298107
172.71.98.52	0.0016996504375585944
146.70.175.108	0.001693244475139156
144.21.37.71	0.0016878667793527203
47.74.35.200	0.001674146413277246
172.70.243.4	0.0016657070265712658
146.70.175.107	0.0016649724793034928
8.212.158.134	0.0016646390448517424
172.70.243.80	0.001662632535801151
172.71.215.3	0.0016618273282008808
138.2.75.91	0.0016611124976143987
162.158.178.133	0.0016610824726897178
172.70.247.174	0.001660693770783898
23.105.214.132	0.001659326304721381
162.158.87.179	0.0016587733524987748
144.24.190.20	0.0016580660139970298
8.212.7.210	0.0016579583557932475
141.144.255.155	0.0016567733698023585
140.238.213.209	0.0016566364697757638
